PID,CRIM,AC,INDUS,LS,PR,RM,AGE,DIS,RAD,PTRATIO,DMT,LSTAT,MO,TAX
1,0.03551,25,4.86,0,0.426,6.167,46.7,5.4007,4,19,390.64,7.51,0,
2,0.03659,25,4.86,0,0.426,6.302,32.2,5.4007,4,19,396.9,6.72,0,
3,0.04462,25,4.86,0,0.426,6.619,70.4,5.4007,4,19,395.63,7.22,0,
4,0.04113,25,4.86,0,0.426,6.727,,5.4007,4,19,396.9,5.29,0,
5,0.08387,0,12.83,0,0.437,5.874,36.6,4.5026,5,18.7,396.06,9.1,0,
6,0.05646,0,12.83,0,0.437,6.232,53.7,5.0141,5,18.7,386.4,12.34,0,
7,0.08707,0,12.83,0,0.437,6.14,45.8,4.0905,5,18.7,386.96,10.27,0,
8,0.10153,0,12.83,0,0.437,6.279,74.5,4.0522,5,18.7,373.66,11.97,0,
9,0.09512,0,12.83,0,0.437,6.286,45,4.5026,5,18.7,383.23,8.94,0,
10,0.07896,0,12.83,0,0.437,6.273,6,4.2515,5,18.7,394.92,6.78,0,
11,0.19539,0,10.81,0,0.413,6.245,6.2,5.2873,4,19.2,377.17,7.54,0,
12,0.09164,0,10.81,0,0.413,6.065,7.8,5.2873,4,19.2,320,5.52,0,
13,0.15876,0,10.81,0,0.413,5.961,,5.2873,4,19.2,350.2,9.88,0,
14,0.08826,0,10.81,0,0.413,6.417,6.6,5.2873,4,19.2,350.2,6.72,0,
15,0.12816,12.5,6.07,0,0.409,5.885,33,6.498,4,18.9,396.9,8.79,0,
16,0.13554,12.5,6.07,0,0.409,5.594,36.8,6.498,4,18.9,396.9,13.09,0,
17,0.05789,12.5,6.07,0,0.409,5.878,21.4,6.498,4,18.9,180.4,8.1,0,
18,0.04379,80,3.37,0,0.398,5.787,31.1,6.6115,4,16.1,396.9,10.24,0,
19,0.03584,80,3.37,0,0.398,6.29,17.8,6.6115,4,16.1,396.9,4.67,0,
20,0.01951,17.5,1.38,0,0.4161,7.104,59.5,9.2229,3,18.6,393.24,8.05,0,
21,0.1265,25,5.13,0,0.453,6.762,43.4,7.9809,8,19.7,395.58,9.5,0,
22,0.11027,25,5.13,0,0.453,6.456,67.8,7.2255,8,19.7,396.9,6.73,0,
23,0.17171,25,5.13,0,0.453,5.966,93.4,6.8185,8,19.7,378.08,14.44,0,
24,0.14932,25,5.13,0,0.453,5.741,66.2,7.2254,8,19.7,106.2,13.15,0,
25,0.10328,25,5.13,0,0.453,5.927,47.2,6.932,8,19.7,396.9,9.22,0,
26,0.15445,25,5.13,0,0.453,6.145,29.2,7.8148,8,19.7,390.68,6.86,0,
27,0.01432,100,1.32,0,0.411,6.816,40.5,8.3248,5,15.1,392.9,3.95,0,
28,0.02055,85,0.74,0,0.41,6.383,35.7,9.1876,2,17.3,104.5,5.77,0,
29,0.01311,90,1.22,0,0.403,7.249,21.9,8.6966,5,17.9,395.93,4.81,0,
30,0.0136,75,4,0,0.41,5.888,47.6,7.3197,3,21.1,396.9,14.8,0,
31,0.04981,21,5.64,0,0.439,5.998,21.4,6.8147,4,16.8,103,8.43,0,
32,0.0536,21,5.64,0,0.439,6.511,21.1,6.8147,4,16.8,102,5.28,0,
33,0.04337,21,5.64,0,0.439,6.115,63,6.8147,4,16.8,101,9.43,0,
34,0.08873,21,5.64,0,0.439,5.963,45.7,6.8147,4,16.8,395.56,13.45,0,
35,0.21977,0,6.91,0,0.448,5.602,62,6.0877,3,17.9,396.9,16.2,0,
36,0.25387,0,6.91,0,0.448,5.399,,5.87,3,17.9,396.9,30.81,0,
